"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
1994-01-07,4.399,3.851,5.145,5.72,5.518,4.513,5.225,5.378
1994-01-08,4.252,3.608,5.552,5.701,5.64,4.816,5.253,5.356
1994-01-09,3.809,3.736,5.481,5.946,5.854,5.085,5.28,5.359
1994-01-10,3.687,3.456,5.184,5.816,6.053,5.248,5.378,5.439
1994-01-11,3.198,3.188,5.172,5.83,6.091,5.297,5.428,5.471
1994-01-12,2.965,3.185,4.91,6.054,6.164,5.379,5.458,5.487
1994-01-13,2.998,3.191,4.913,5.918,6.199,5.413,5.507,5.512
1994-01-14,3.103,3.209,4.796,5.91,6.225,5.463,5.524,5.516
1994-01-15,3.255,3.224,4.727,6.077,6.315,5.529,5.554,5.536
1994-01-16,3.405,3.084,4.89,5.835,6.282,5.582,5.603,5.577
1994-01-17,3.243,2.956,5.164,6.168,6.386,5.628,5.664,5.638
1994-01-18,3.196,3.016,5.258,6.056,6.496,5.666,5.723,5.718
1994-01-19,2.818,2.837,4.879,5.994,6.536,5.705,5.778,5.798
1994-01-20,2.578,2.654,4.861,5.906,6.587,5.76,5.839,5.868
1994-01-21,2.47,2.62,4.886,5.935,6.634,5.79,5.88,5.911
1994-01-22,2.383,2.667,4.918,6.009,6.653,5.818,5.918,5.934
1994-01-23,2.109,2.502,4.576,5.895,6.587,5.833,5.948,5.954
1994-01-24,1.839,2.093,4.582,6.108,6.618,5.869,5.985,5.987
1994-01-25,1.893,2.107,4.803,5.895,6.59,5.898,6.019,6.015
1994-01-26,1.791,2.295,4.94,6.168,6.596,5.914,6.055,6.05
1994-01-27,1.414,2.157,4.781,6.092,6.568,5.955,6.095,6.073
1994-01-28,1.05,1.911,4.528,6.046,6.529,5.966,6.123,6.074
1994-01-29,1.058,1.575,3.923,6.054,6.572,5.948,6.146,6.082
