"Date","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m"
2024-03-30,2.753,2.807,3.241,4.087,4.295,4.086,5.564,7.504,8.053
2024-03-31,2.912,2.961,3.379,4.149,4.234,3.996,5.513,7.085,7.882
2024-04-01,2.949,3.009,3.4,4.159,4.258,4.036,5.424,6.47,7.707
2024-04-02,2.922,3.016,3.387,4.131,4.303,4.035,5.357,5.993,7.458
2024-04-03,2.906,3.007,3.344,4.067,4.333,4.046,5.345,5.826,7.413
2024-04-04,2.935,3.018,3.343,4.072,4.391,4.1,5.396,5.902,7.537
2024-04-05,3.013,3.076,3.304,4.088,4.418,4.115,5.396,6.203,7.72
2024-04-06,3.073,3.126,3.349,4.097,4.397,4.043,5.469,6.497,7.79
2024-04-07,3.118,3.161,3.369,4.071,4.382,4.044,5.609,6.547,7.785
2024-04-08,3.156,3.186,3.339,4.032,4.407,4.13,5.57,6.574,7.814
2024-04-09,3.181,3.191,3.289,3.991,4.386,4.099,5.434,6.599,7.824
2024-04-10,3.207,3.205,3.257,3.91,4.366,4.126,5.423,6.571,7.795
2024-04-11,3.229,3.211,3.25,3.884,4.369,4.178,5.462,6.57,7.778
2024-04-12,3.251,3.224,3.256,3.856,4.355,4.195,5.481,6.508,7.724
2024-04-13,3.352,3.296,3.283,3.815,4.323,4.196,5.559,6.324,7.549
2024-04-14,3.508,3.466,3.402,3.811,4.262,4.218,5.689,5.757,7.011
2024-04-15,3.585,3.557,3.53,3.815,4.24,4.307,5.674,5.045,6.296
2024-04-16,3.625,3.591,3.582,3.834,4.268,4.381,5.561,4.678,5.771
2024-04-17,3.611,3.599,3.597,3.904,4.328,4.417,5.455,4.6,5.802
2024-04-18,3.6,3.618,3.619,4.028,4.422,4.454,5.418,4.57,6.051
2024-04-19,3.604,3.639,3.625,4.12,4.537,4.487,5.423,4.707,6.351
2024-04-20,3.622,3.662,3.637,4.166,4.621,4.507,5.47,5.013,6.634
2024-04-21,3.644,3.67,3.658,4.153,4.625,4.542,5.499,5.212,6.809
2024-04-22,3.666,3.654,3.639,4.05,4.603,4.614,5.493,5.157,6.834
2024-04-23,3.704,3.644,3.584,3.953,4.609,4.701,5.461,4.954,6.677
2024-04-24,3.768,3.642,3.507,3.888,4.66,4.798,5.454,4.853,6.446
2024-04-25,3.782,3.603,3.402,3.892,4.771,4.913,5.525,4.935,6.449
2024-04-26,3.832,3.649,3.368,3.923,4.847,5.031,5.598,5.087,6.406
2024-04-27,3.915,3.744,3.454,3.933,4.924,5.181,5.733,5.269,6.578
2024-04-28,3.991,3.767,3.471,3.989,5.006,5.303,5.849,5.487,6.8
2024-04-29,3.988,3.74,3.436,4.041,5.086,5.409,5.948,5.773,7.056
2024-04-30,3.998,3.741,3.412,4.084,5.133,5.517,6.052,6.04,7.277
2024-05-01,4.093,3.815,3.439,4.127,5.16,5.619,6.151,6.255,7.413
2024-05-02,4.163,3.864,3.485,4.159,5.164,5.658,6.19,6.407,7.479
2024-05-03,4.188,3.886,3.535,4.175,5.17,5.688,6.212,6.521,7.526
2024-05-04,4.217,3.919,3.582,4.182,5.174,5.708,6.242,6.635,7.566
2024-05-05,4.249,3.945,3.626,4.219,5.188,5.718,6.261,6.761,7.599
2024-05-06,4.281,3.977,3.672,4.229,5.198,5.729,6.255,6.832,7.643
2024-05-07,4.332,4.028,3.728,4.233,5.191,5.748,6.239,6.813,7.684
2024-05-08,4.444,4.128,3.805,4.255,5.17,5.789,6.218,6.722,7.713
2024-05-09,4.485,4.214,3.862,4.301,5.142,5.815,6.242,6.698,7.715
2024-05-10,4.427,4.209,3.86,4.362,5.148,5.839,6.326,6.785,7.719
2024-05-11,4.411,4.223,3.871,4.466,5.179,5.825,6.429,6.903,7.733
2024-05-12,4.445,4.276,3.907,4.553,5.222,5.792,6.497,7.034,7.746
2024-05-13,4.508,4.343,3.963,4.565,5.241,5.788,6.561,7.173,7.795
2024-05-14,4.57,4.418,4.009,4.478,5.214,5.792,6.638,7.26,7.841
2024-05-15,4.614,4.483,4.034,4.423,5.186,5.795,6.692,7.305,7.87
