"Date","222 m","318 m","380 m","902 m","1245 m"
2002-07-22,8.668,7.49,7.413,4.294,3.881
2002-07-23,8.713,7.086,7.374,4.318,3.88
2002-07-24,7.991,6.054,6.938,4.343,3.87
2002-07-25,7.529,6.046,6.905,4.352,3.863
2002-07-26,8.256,6.971,7.344,4.338,3.841
2002-07-27,8.674,7.456,7.667,4.326,3.829
2002-07-28,8.893,7.555,7.735,4.323,3.829
2002-07-29,9.104,7.468,7.67,4.329,3.835
2002-07-30,9.199,7.075,7.574,4.329,3.83
2002-07-31,9.153,6.764,7.319,4.333,3.831
2002-08-01,9.056,6.783,7.144,4.347,3.853
2002-08-02,9.043,7.071,7.182,4.364,3.893
2002-08-03,9.178,7.306,7.316,4.379,3.947
2002-08-04,9.193,7.177,7.209,4.391,4.005
2002-08-05,9.057,7.051,7.07,4.373,4.051
2002-08-06,8.871,6.881,6.856,4.351,4.07
2002-08-07,7.635,6.369,6.41,4.357,4.082
2002-08-08,7.544,6.432,6.51,4.369,4.098
2002-08-09,7.568,6.566,6.338,4.385,4.117
2002-08-10,7.624,6.625,6.199,4.394,4.128
2002-08-11,7.749,6.549,5.843,4.403,4.124
2002-08-12,7.804,6.397,5.65,4.408,4.108
2002-08-13,7.913,6.226,5.716,4.398,4.081
2002-08-14,8.033,6.232,6.078,4.368,4.04
2002-08-15,8.026,6.249,6.265,4.337,3.997
2002-08-16,8.02,6.321,6.509,4.339,3.984
2002-08-17,8.343,6.389,6.657,4.357,4.005
2002-08-18,8.896,6.429,6.755,4.389,4.058
2002-08-19,8.52,6.536,6.756,4.427,4.121
2002-08-20,8.425,6.454,6.607,4.459,4.185
2002-08-21,8.391,6.329,6.399,4.48,4.23
2002-08-22,8.426,6.481,6.613,4.478,4.241
2002-08-23,8.428,5.938,6.707,4.464,4.218
2002-08-24,8.372,5.432,6.4,4.446,4.179
2002-08-25,8.383,5.414,6.732,4.403,4.137
2002-08-26,8.348,4.974,6.301,4.37,4.095
2002-08-27,8.341,4.969,6.175,4.332,4.048
2002-08-28,8.338,5.055,6.175,4.31,4.012
2002-08-29,8.405,5.518,6.716,4.28,3.999
2002-08-30,8.452,5.203,6.656,4.228,3.992
2002-08-31,8.41,5.031,5.922,4.159,3.975
2002-09-01,8.518,5.587,6.709,4.055,3.951
2002-09-02,8.576,5.162,6.409,3.999,3.93
2002-09-03,8.461,5.182,5.89,3.984,3.917
2002-09-04,8.384,5.381,5.846,3.966,3.905
2002-09-05,8.145,5.453,5.655,3.942,3.899
2002-09-06,8.041,5.42,5.469,3.908,3.899
2002-09-07,7.97,5.402,5.51,3.875,3.903
2002-09-08,8.01,5.395,5.676,3.847,3.9
2002-09-09,8.06,5.212,5.654,3.828,3.891
2002-09-10,8.012,5.031,5.619,3.821,3.881
2002-09-11,8.103,5.166,5.994,3.812,3.865
2002-09-12,7.933,4.86,5.425,3.832,3.859
2002-09-13,7.061,4.74,5.135,3.847,3.866
2002-09-14,7.3,5.046,5.523,3.851,3.877
2002-09-15,7.47,5.295,5.542,3.857,3.92
2002-09-16,7.768,5.725,5.612,3.864,3.977
2002-09-17,7.281,5.664,5.36,3.886,4.016
2002-09-18,7.365,5.928,5.616,3.93,4.041
2002-09-19,7.65,6.254,5.917,3.992,4.06
2002-09-20,7.767,6.162,5.947,4.034,4.055
2002-09-21,7.756,5.887,5.713,4.058,4.036
2002-09-22,7.448,5.516,5.364,4.079,4.016
2002-09-23,7.432,5.779,5.884,4.078,3.996
2002-09-24,7.505,5.507,5.855,4.083,3.976
2002-09-25,7.476,5.326,5.868,4.09,3.971
2002-09-26,7.509,5.666,6.261,4.103,3.986
2002-09-27,7.546,5.987,6.654,4.116,4.004
2002-09-28,7.546,5.336,6.115,4.145,4.022
2002-09-29,7.083,5.14,5.022,4.181,4.042
2002-09-30,7.111,5.567,5.84,4.188,4.054
2002-10-01,7.326,5.663,6.063,4.202,4.067
2002-10-02,6.926,5.323,5.272,4.229,4.097
2002-10-03,6.351,5.326,4.966,4.234,4.139
2002-10-04,6.573,5.571,5.575,4.225,4.179
2002-10-05,7.015,6.12,6.443,4.205,4.187
2002-10-06,6.837,5.217,5.307,4.212,4.169
2002-10-07,6.41,5.48,5.652,4.197,4.135
2002-10-08,7.275,5.78,6.357,4.174,4.078
2002-10-09,7.587,5.318,6.366,4.171,4.044
2002-10-10,7.984,6.13,7.043,4.18,4.023
2002-10-11,8.403,6.442,7.656,4.193,4.018
2002-10-12,8.532,6.348,8.001,4.208,4.024
2002-10-13,8.483,6.816,8.297,4.226,4.026
2002-10-14,8.471,5.72,8.177,4.25,4.028
2002-10-15,8.427,5.477,6.95,4.294,4.041
2002-10-16,8.47,5.802,6.275,4.321,4.049
2002-10-17,8.503,5.876,5.899,4.313,4.049
2002-10-18,8.025,5.676,5.583,4.294,4.033
2002-10-19,8.012,5.622,5.584,4.262,4.009
2002-10-20,7.268,5.594,5.452,4.22,3.975
2002-10-21,5.709,5.71,5.228,4.171,3.926
2002-10-22,5.775,5.726,5.477,4.112,3.88
2002-10-23,6.018,5.767,5.521,4.065,3.845
2002-10-24,6.413,5.919,5.679,4.044,3.83
