"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
2023-02-08,5.059,5.293,5.449,5.791,6.051,6.077,6.574,6.664,6.67
2023-02-09,5.044,5.354,5.385,5.701,5.997,6.011,6.512,6.618,6.718
2023-02-10,4.973,5.305,5.437,5.714,5.988,6.013,6.488,6.684,6.668
2023-02-11,4.877,5.237,5.409,5.687,5.959,6.038,6.533,6.821,6.481
2023-02-12,4.918,5.34,5.413,5.694,5.97,6.08,6.592,7.084,6.269
2023-02-13,4.89,5.266,5.4,5.697,5.968,6.124,6.635,7.245,6.215
2023-02-14,4.832,5.152,5.397,5.69,5.971,6.186,6.756,7.419,6.18
2023-02-15,4.713,4.926,5.317,5.67,6.056,6.213,7.435,7.501,6.154
2023-02-16,4.778,5.119,5.332,5.641,6.032,6.198,7.422,7.498,6.165
2023-02-17,4.76,5.155,5.292,5.605,6.045,6.255,7.492,7.646,6.166
2023-02-18,4.676,5.017,5.297,5.605,6.059,6.334,7.556,7.812,6.173
2023-02-19,4.642,4.913,5.257,5.603,6.196,6.459,7.889,7.841,6.199
2023-02-20,4.576,4.885,5.263,5.588,6.186,6.484,7.858,7.835,6.226
2023-02-21,4.453,4.7,5.222,5.578,6.21,6.537,7.843,7.851,6.272
2023-02-22,4.458,4.815,5.211,5.587,6.225,6.571,7.894,7.856,6.297
2023-02-23,4.385,4.585,5.206,5.602,6.218,6.575,7.798,7.798,6.329
2023-02-24,4.388,4.674,5.24,5.596,6.114,6.481,7.655,7.74,6.34
2023-02-25,4.306,4.398,5.236,5.605,6.099,6.414,7.554,7.586,6.362
2023-02-26,4.26,4.349,5.215,5.57,6.04,6.306,7.449,7.401,6.372
2023-02-27,4.27,4.335,5.194,5.535,5.974,6.233,7.327,7.229,6.379
2023-02-28,4.258,4.292,5.167,5.506,5.959,6.21,7.221,7.087,6.378
2023-03-01,4.28,4.347,5.148,5.475,5.946,6.219,7.155,6.99,6.371
2023-03-02,4.23,4.307,5.127,5.451,5.943,6.235,7.113,6.955,6.356
2023-03-03,4.174,4.305,5.111,5.425,5.925,6.229,7.101,6.964,6.337
2023-03-04,4.058,4.229,5.102,5.408,5.904,6.215,7.091,6.978,6.322
2023-03-05,3.999,4.302,5.132,5.392,5.867,6.165,7.056,6.995,6.313
2023-03-06,3.858,4.135,5.131,5.395,5.849,6.167,7.025,7,6.303
2023-03-07,3.615,3.916,5.116,5.4,5.859,6.183,7.029,7.005,6.295
2023-03-08,3.521,3.8,5.097,5.392,5.868,6.169,7.001,7.004,6.272
2023-03-09,3.306,3.607,5.074,5.381,5.868,6.151,6.973,7.008,6.259
2023-03-10,3.197,3.552,5.056,5.362,5.859,6.141,6.936,7.004,6.245
2023-03-11,3.203,3.637,5.045,5.351,5.849,6.143,6.92,7.004,6.236
2023-03-12,3.306,3.739,5.042,5.345,5.834,6.145,6.916,7.007,6.23
2023-03-13,3.394,3.758,5.035,5.331,5.815,6.137,6.895,6.987,6.223
2023-03-14,3.508,3.853,5.029,5.315,5.8,6.127,6.85,6.956,6.215
2023-03-15,3.537,3.889,5.022,5.306,5.8,6.152,6.805,6.945,6.211
2023-03-16,3.04,3.595,5.049,5.376,5.9,6.257,6.867,6.972,6.196
2023-03-17,3.15,3.581,5.13,5.418,6.004,6.291,6.91,6.963,6.178
2023-03-18,3.227,3.737,5.153,5.433,6.021,6.338,6.961,6.97,6.183
2023-03-19,3.377,3.933,5.145,5.455,6.014,6.356,6.995,6.992,6.183
2023-03-20,3.433,3.931,5.155,5.509,6.064,6.419,7.054,7.002,6.178
2023-03-21,3.687,4.334,5.177,5.524,6.074,6.43,7.091,6.983,6.169
2023-03-22,3.793,4.253,5.173,5.54,6.103,6.43,7.109,6.991,6.158
2023-03-23,3.821,4.251,5.194,5.605,6.148,6.474,7.151,7.002,6.13
2023-03-24,3.774,4.193,5.251,5.678,6.222,6.524,7.196,7.007,6.127
2023-03-25,3.601,4.033,5.512,5.911,6.512,6.796,7.373,6.989,6.107
2023-03-26,3.716,4.382,5.603,5.972,6.566,6.923,7.467,7.004,6.106
2023-03-27,3.669,4.313,5.559,6.006,6.568,6.986,7.492,7.019,6.112
2023-03-28,3.588,4.157,5.571,6.064,6.618,7.073,7.552,7.025,6.111
2023-03-29,3.604,4.1,5.56,6.107,6.666,7.138,7.603,7.033,6.115
2023-03-30,3.648,4.133,5.546,6.127,6.674,7.163,7.594,7.03,6.122
2023-03-31,3.638,4.101,5.547,6.154,6.692,7.178,7.56,7.017,6.133
2023-04-01,3.551,4.017,5.67,6.263,6.784,7.262,7.563,6.999,6.139
2023-04-02,3.669,4.204,5.682,6.284,6.804,7.266,7.55,6.99,6.148
2023-04-03,3.74,4.286,5.704,6.31,6.826,7.286,7.544,6.97,6.161
2023-04-04,3.992,4.579,5.643,6.28,6.852,7.235,7.464,6.947,6.177
2023-04-05,4.007,4.51,5.64,6.312,6.881,7.233,7.418,6.947,6.185
2023-04-06,4.092,4.627,5.672,6.301,6.865,7.196,7.401,6.976,6.202
2023-04-07,3.996,4.278,5.678,6.322,6.882,7.243,7.432,7.028,6.202
2023-04-08,3.907,4.267,5.623,6.295,6.877,7.241,7.458,7.057,6.21
2023-04-09,3.88,4.259,5.53,6.259,6.852,7.215,7.463,7.078,6.218
2023-04-10,3.829,4.231,5.48,6.229,6.826,7.19,7.471,7.102,6.214
2023-04-11,3.77,4.223,5.426,6.217,6.822,7.189,7.476,7.096,6.218
2023-04-12,3.662,4.142,5.416,6.205,6.814,7.178,7.473,7.075,6.216
2023-04-13,3.557,4.032,5.398,6.18,6.781,7.135,7.416,7.033,6.213
2023-04-14,3.529,4.035,5.406,6.161,6.736,7.065,7.33,7.004,6.212
2023-04-15,3.576,4.155,5.351,6.122,6.689,6.993,7.234,6.991,6.211
2023-04-16,3.435,3.969,5.293,6.116,6.647,6.933,7.155,6.989,6.22
2023-04-17,3.355,3.857,5.239,6.054,6.592,6.861,7.086,6.992,6.227
2023-04-18,3.224,3.719,5.2,6.01,6.529,6.788,7.016,6.988,6.231
2023-04-19,3.122,3.642,5.195,5.974,6.482,6.728,6.956,6.981,6.226
2023-04-20,3.153,3.722,5.251,5.972,6.479,6.721,6.938,6.956,6.222
2023-04-21,3.141,3.805,5.229,5.994,6.492,6.729,6.937,6.921,6.225
2023-04-22,3.094,3.767,5.216,6.031,6.521,6.739,6.953,6.912,6.233
2023-04-23,3.109,3.823,5.162,6.03,6.535,6.744,6.961,6.92,6.245
