"Date","47 m","66 m","78 m","92 m","110 m"
2000-09-02,9.414,8.863,9.281,8.825,8.316
2000-09-03,9.367,8.835,9.277,8.842,8.285
2000-09-04,9.419,8.927,9.36,8.914,8.302
2000-09-05,9.489,9.017,9.435,8.968,8.307
2000-09-06,9.529,9.047,9.473,8.999,8.288
2000-09-07,9.627,9.144,9.539,9.104,8.338
2000-09-08,9.694,9.32,9.583,9.173,8.359
2000-09-09,9.743,9.354,9.595,9.153,8.334
2000-09-10,9.811,9.156,9.558,9.069,8.298
2000-09-11,9.843,9.094,9.547,9.07,8.289
2000-09-12,9.899,9.231,9.606,9.152,8.313
2000-09-13,9.934,9.324,9.658,9.188,8.321
2000-09-14,9.967,9.285,9.653,9.148,8.305
2000-09-15,10.006,9.238,9.632,9.115,8.301
2000-09-16,10.089,9.348,9.666,9.166,8.321
2000-09-17,9.99,9.449,9.693,9.179,8.307
2000-09-18,10.011,9.272,9.634,9.084,8.269
2000-09-19,9.812,9.023,9.481,8.94,8.194
2000-09-20,9.361,8.99,9.349,8.86,8.175
2000-09-21,9.356,9.066,9.357,8.871,8.221
2000-09-22,9.477,9.11,9.4,8.854,8.256
2000-09-23,9.438,9.015,9.322,8.723,8.227
2000-09-24,9.341,9.057,9.266,8.69,8.228
2000-09-25,9.46,9.163,9.308,8.695,8.294
2000-09-26,9.585,9.146,9.295,8.634,8.318
2000-09-27,9.586,9.246,9.353,8.698,8.316
2000-09-28,9.658,9.405,9.495,8.835,8.376
2000-09-29,9.805,9.484,9.564,8.86,8.365
2000-09-30,9.913,9.513,9.575,8.854,8.348
2000-10-01,10.025,9.623,9.663,8.935,8.37
2000-10-02,10.126,9.654,9.68,8.937,8.37
2000-10-03,10.204,9.658,9.669,8.931,8.369
2000-10-04,10.277,9.775,9.728,8.982,8.387
2000-10-05,10.361,9.936,9.847,9.072,8.413
2000-10-06,10.513,10.035,9.948,9.156,8.439
2000-10-07,10.704,10.216,10.103,9.296,8.492
2000-10-08,10.744,10.359,10.192,9.357,8.497
2000-10-09,10.938,10.444,10.271,9.415,8.522
2000-10-10,11.072,10.586,10.391,9.522,8.573
2000-10-11,11.18,10.799,10.547,9.644,8.609
2000-10-12,11.135,10.334,10.384,9.42,8.53
2000-10-13,10.758,9.507,9.993,9.094,8.456
2000-10-14,10.466,9.506,9.766,8.975,8.499
2000-10-15,10.52,9.621,9.761,8.993,8.573
2000-10-16,10.576,9.543,9.745,8.958,8.598
2000-10-17,10.591,9.583,9.813,9.035,8.633
2000-10-18,10.695,9.818,10.04,9.21,8.709
2000-10-19,10.841,10.102,10.203,9.324,8.748
2000-10-20,10.916,10.33,10.218,9.322,8.735
2000-10-21,10.939,9.945,10.021,9.198,8.687
2000-10-22,10.971,9.964,9.94,9.2,8.691
2000-10-23,10.917,9.84,9.853,9.161,8.678
2000-10-24,10.908,10.033,9.994,9.346,8.726
2000-10-25,10.93,10.366,10.22,9.48,8.774
2000-10-26,10.944,10.259,10.23,9.48,8.737
2000-10-27,10.986,10.366,10.27,9.526,8.729
2000-10-28,10.999,10.507,10.336,9.592,8.729
2000-10-29,10.968,10.535,10.343,9.574,8.709
2000-10-30,10.949,10.608,10.365,9.612,8.708
2000-10-31,10.949,10.77,10.542,9.81,8.773
2000-11-01,10.935,10.836,10.62,9.938,8.885
2000-11-02,10.826,10.776,10.521,9.959,8.902
2000-11-03,10.763,10.708,10.417,9.967,8.86
2000-11-04,10.74,10.614,10.349,9.981,8.872
2000-11-05,10.721,10.516,10.274,9.92,8.778
2000-11-06,10.674,10.5,10.169,9.825,8.691
2000-11-07,10.555,10.456,10.046,9.726,8.62
2000-11-08,10.456,10.38,9.967,9.665,8.62
2000-11-09,10.572,10.368,10.009,9.687,8.736
2000-11-10,10.694,10.527,10.061,9.706,8.764
2000-11-11,10.85,10.651,10.07,9.711,8.775
2000-11-12,10.938,10.719,10.005,9.702,8.775
2000-11-13,10.932,10.596,9.963,9.678,8.803
2000-11-14,10.91,10.628,10.039,9.667,8.869
2000-11-15,11.039,10.726,10.17,9.669,8.956
2000-11-16,11.179,10.824,10.108,9.643,8.972
2000-11-17,10.974,10.339,9.901,9.412,8.891
2000-11-18,10.716,10.04,9.752,9.063,8.828
2000-11-19,10.293,9.646,9.492,8.759,8.781
2000-11-20,10.323,9.524,9.304,8.71,8.8
2000-11-21,10.269,9.787,9.413,8.835,8.786
2000-11-22,10.176,9.677,9.516,8.896,8.773
2000-11-23,10.142,9.514,9.456,8.862,8.711
2000-11-24,10.05,9.535,9.462,8.88,8.62
2000-11-25,9.958,9.56,9.533,8.927,8.556
2000-11-26,9.945,9.621,9.597,8.976,8.566
2000-11-27,9.859,9.668,9.661,9.046,8.597
2000-11-28,9.692,9.638,9.636,9.012,8.601
2000-11-29,9.619,9.706,9.491,8.873,8.552
2000-11-30,9.415,9.759,9.52,8.898,8.522
2000-12-01,9.481,9.709,9.554,8.894,8.505
2000-12-02,9.619,9.72,9.595,9.021,8.577
2000-12-03,9.665,9.555,9.61,9.188,8.699
2000-12-04,9.617,9.649,9.601,9.223,8.663
2000-12-05,9.454,9.589,9.604,9.279,8.634
2000-12-06,9.281,9.298,9.591,9.369,8.616
2000-12-07,9.157,9.422,9.586,9.32,8.516
2000-12-08,8.523,9.622,9.572,9.211,8.462
2000-12-09,8.305,9.745,9.553,9.17,8.484
2000-12-10,8.137,9.68,9.553,9.184,8.48
2000-12-11,8.721,9.624,9.532,9.15,8.562
2000-12-12,8.918,9.591,9.519,9.268,8.6
2000-12-13,8.417,8.586,9.438,9.323,8.512
2000-12-14,8.149,9.207,9.404,9.13,8.434
2000-12-15,8.519,9.158,9.306,9.084,8.471
2000-12-16,8.138,8.865,9.257,9.098,8.411
2000-12-17,7.894,8.524,9.117,9.096,8.41
2000-12-18,7.631,7.528,8.538,9.067,8.464
2000-12-19,7.385,7.751,8.557,8.965,8.389
